matrix_size,blockSize,matBlockT_wallTime[us],matBlockTpar_wallTime[us],hostname,compilation_notes
16,4,1,0,hpc-c11-node21.unitn.it,SERIAL_CODE
16,8,1,0,hpc-c11-node21.unitn.it,SERIAL_CODE
32,4,8,0,hpc-c11-node21.unitn.it,SERIAL_CODE
32,8,5,0,hpc-c11-node21.unitn.it,SERIAL_CODE
32,16,5,0,hpc-c11-node21.unitn.it,SERIAL_CODE
64,4,45,0,hpc-c11-node21.unitn.it,SERIAL_CODE
64,8,20,0,hpc-c11-node21.unitn.it,SERIAL_CODE
64,16,20,0,hpc-c11-node21.unitn.it,SERIAL_CODE
64,32,20,0,hpc-c11-node21.unitn.it,SERIAL_CODE
128,4,209,0,hpc-c11-node21.unitn.it,SERIAL_CODE
128,8,82,0,hpc-c11-node21.unitn.it,SERIAL_CODE
128,16,80,0,hpc-c11-node21.unitn.it,SERIAL_CODE
128,32,80,0,hpc-c11-node21.unitn.it,SERIAL_CODE
128,64,81,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,4,1497,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,8,509,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,16,367,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,32,367,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,64,368,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,128,365,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,4,8756,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,8,7872,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,16,4046,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,32,5507,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,64,8903,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,128,8038,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,256,17832,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,4,47530,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,8,52048,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,16,35514,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,32,43734,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,64,41175,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,128,37150,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,256,46111,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,512,50580,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,4,401426,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,8,285178,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,16,140728,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,32,217444,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,64,220472,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,128,214482,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,256,278243,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,512,413165,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,1024,388099,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,4,1958765,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,8,1236730,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,16,887414,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,32,975504,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,64,831991,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,128,774307,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,256,917012,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,512,1152344,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,1024,1078567,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,2048,1286015,0,hpc-c11-node21.unitn.it,SERIAL_CODE
16,4,1,0,hpc-c11-node12.unitn.it,SERIAL_CODE
16,8,1,0,hpc-c11-node12.unitn.it,SERIAL_CODE
32,4,7,0,hpc-c11-node12.unitn.it,SERIAL_CODE
32,8,5,0,hpc-c11-node12.unitn.it,SERIAL_CODE
32,16,5,0,hpc-c11-node12.unitn.it,SERIAL_CODE
64,4,35,0,hpc-c11-node12.unitn.it,SERIAL_CODE
64,8,22,0,hpc-c11-node12.unitn.it,SERIAL_CODE
64,16,21,0,hpc-c11-node12.unitn.it,SERIAL_CODE
64,32,21,0,hpc-c11-node12.unitn.it,SERIAL_CODE
128,4,155,0,hpc-c11-node12.unitn.it,SERIAL_CODE
128,8,87,0,hpc-c11-node12.unitn.it,SERIAL_CODE
128,16,86,0,hpc-c11-node12.unitn.it,SERIAL_CODE
128,32,85,0,hpc-c11-node12.unitn.it,SERIAL_CODE
128,64,87,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,4,685,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,8,366,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,16,375,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,32,370,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,64,377,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,128,372,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,4,3705,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,8,2126,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,16,3367,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,32,3430,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,64,12544,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,128,5533,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,256,5262,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,4,13635,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,8,9574,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,16,14299,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,32,14508,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,64,15559,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,128,15911,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,256,19385,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,512,23111,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,4,64579,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,8,59231,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,16,79815,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,32,69745,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,64,98751,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,128,99167,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,256,123721,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,512,137792,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,1024,138056,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,4,420719,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,8,247719,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,16,261452,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,32,260642,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,64,314693,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,128,315892,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,256,382089,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,512,455525,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,1024,554916,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,2048,458579,0,hpc-c11-node12.unitn.it,SERIAL_CODE
